VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD
구인사,충북,단양군,2.0,92.72727272727272,4.136363636363637,0.1818181818181818,1.0454545454545454,3.954545454545455,충북 단양군 영춘면 구인사길 73,충북 단양군 영춘면 백자리 132-1,128.4811734,37.03345671
금강보행교,세종특별자치시,세종동,7.0,42.5,4.666666666666667,0.0833333333333333,1.0,4.333333333333333,,세종특별자치시 세종동 29-111,127.2871263,36.48184789
몽산포해수욕장,충남,태안군,1.0,82.5,3.9583333333333335,0.375,1.875,3.9166666666666665,충청남도 태안군 근흥면 용도로 126-9,충남 태안군 남면 신장리 353-59,126.2866187,36.66939031
보령석탄박물관,충남,보령시,2.0,42.0,4.2,0.0,4.0,3.6,충남 보령시 성주면 성주산로 508,충남 보령시 성주면 개화리 114-4,126.6527008,36.32611301
장자도,전북,군산시,1.0,260.7692307692308,4.307692307692308,0.1538461538461538,1.3076923076923077,4.153846153846154,전북 군산시 옥도면 장자도1길 10,전북 군산시 옥도면 장자도리,126.3974491,35.81021336
여수낭만포차거리,전남,여수시,4.0,90.0,4.142857142857143,0.0,1.3571428571428572,3.857142857142857,전남 여수시 하멜로 102,전남 여수시 종화동 300-3,127.7491528,34.73648685
석종사,충북,충주시,2.0,36.0,4.4,0.2,1.2,4.0,충북 충주시 직동길 271-56,충북 충주시 직동 149,127.9693642,36.94853331
아미미술관,충남,당진시,3.0,70.0,4.166666666666667,0.1666666666666666,1.4166666666666667,3.9166666666666665,충남 당진시 순성면 남부로 753-4,충남 당진시 순성면 성북리 160-1,126.6802741,36.86179869
향일암,전남,여수시,2.0,83.02325581395348,4.558139534883721,0.2093023255813953,2.372093023255814,4.418604651162791,전남 여수시 돌산읍 향일암로 1,전남 여수시 돌산읍 율림리 산 7-2,127.8038216,34.59158232
야미도,전북,군산시,1.0,30.0,4.2,0.0,0.8,3.8,,,126.3172648,33.30275469
제천비행장,충북,제천시,8.0,85.0,4.0,0.3333333333333333,0.6666666666666666,3.5,,충북 제천시 고암동 1179-1,128.2159118,37.16270817
